country,GDP: Gross domestic product (million current US$),GDP per capita (current US$),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Unemployment (% of labour force),"Population density (per km2, 2017)","Life expectancy at birth (females/males, years)",Urban population (% of total population)
United Republic of Tanzania,45628,877.3,3.5,82.9/80.5,30.8/33.7,2.5/4.9,2.7,64.7,64.8/60.8,31.6
United States of America,18036648,56053.8,5.4,100.0/100.3,98.5/96.7,99.6/72.8,4.9,35.5,81.2/76.5,81.6
United States Virgin Islands,-99,-99.0,-99,-99,-99,-99,9.0,299.7,81.5/76.7,95.3
Uruguay,53442,15573.8,4.4,107.3/109.8,100.0/90.3,.../...,8.8,19.8,80.4/73.2,95.3
Uzbekistan,69004,2308.3,-99,103.2/105.6,95.1/96.8,7.1/11.0,8.9,75.0,73.5/68.1,36.4
Vanuatu,737,2783.0,5.5,118.7/120.6,56.4/53.4,.../...,5.3,22.7,73.6/69.4,26.1
Venezuela (Bolivarian Republic of),344331,11068.9,...,98.6/101.3,93.0/86.5,.../...,6.6,36.3,78.2/69.9,89.0
Viet Nam,193241,2067.9,5.7,108.4/109.3,-99,28.9/28.8,2.2,308.1,80.3/70.7,33.6
Wallis and Futuna Islands,-99,-99.0,-99,-99,-99,-99,-99,84.1,78.7/72.8,0.0
Western Sahara,-99,-99.0,-99,-99,-99,-99,6.8,2.1,70.3/66.9,80.9
Yemen,29688,1106.4,...,88.9/105.7,39.5/57.4,6.1/13.7,16.1,53.5,65.6/62.8,34.6
Zambia,21255,1311.1,...,104.0/103.3,-99,3.4/4.5,7.4,23.0,61.9/57.5,40.9
Zimbabwe,13893,890.4,8.4,99.1/100.8,47.1/48.1,8.0/8.9,5.0,42.7,59.0/56.1,32.4
